NSR-ES for Frostbite, path taken BC
Reward mean, reward stddev averaged over 500 episodes
About 8 hours, 2.91*10^7 timesteps

147, 66.3
93.6, 7.66
112, 18.1
85.2, 7.39
199, 19.6
0, 0
186, 35.7
143, 45.2
117, 44.6
121, 28.4
80.3, 43.1
120, 14.3
175, 13.4
130, 49.4
181, 16.1
201, 14.3
179, 3.43
154, 22.8
103, 46.3
196, 8.59
386, 271
40, 0
541, 307
892, 21.7
86.6, 47
1220, 319
51.5, 28.9
53.5, 36.2
900, 42.5
138, 51.9
204, 15.7
41, 15.6
216, 18.8
972, 86
41.5, 35.8
88, 26.4
1070, 240
210, 9.64
207, 4.57
163, 4.45
212, 7.5
982, 100
212, 13.2
947, 65
208, 17.5
224, 12
220, 16.1
225, 4.99
996, 38.4
206, 14.3
227, 4.64
171, 9.97
1080, 75.5
171, 23
2350, 403
181, 28.3
231, 11.4
1530, 539
207, 24.3
381, 130
243, 20.5
1780, 632
806, 443
1030, 80.6
1100, 66.8
1840, 508
2320, 142
902, 68.3
1060, 177
1100, 204
972, 88.2
1210, 504
2320, 74
234, 8.46
2310, 56.8
2290, 89.4
228, 11.3
1700, 636
2310, 53.2
219, 3.5
